id,question,solution,category
103,"A computer system supports up to 236 bytes (64 GiB) of byte-addressable virtual memory.\
There are 230 bytes (1 GiB) of physical memory installed. The memory is split in pages\
of size 4 KiB ( 212 bytes).\
How large, in MiB (mebibytes), is the Page Table?\
A. 36 MiB.\
B. 0.75 MiB.\
C. 24 MiB.\
D. 288 MiB.\
E. 3 MiB.\
You may wish to first calculate the number of entries in the Page Table, and the size of\
each entry.\
Recall:\
• There are 8 bits per byte.\
• There are 1024 bytes in a KiB.\
• There are 1024 KiB in a MiB.\
• There are 1024 MiB in a GiB.","There are 236−12 = 2 24 pages, and so the Page Table needs this many\
entries.\
We can store 230−12 = 2 18 pages in physical memory, and so each entry of the Page\
Table stores 18 bits to identify the physical addresses.\
The page table is therefore 224 × 18 bits, or (224 × 18)/(8 × 1024 × 1024) = 36 MiB.",Memory
104,"The Translation Lookaside Buffer (TLB) stores which of the following:\
A. Physical memory addresses.\
B. Virtual memory addresses.\
C. A list of all pages.\
D. A cache of recently accessed data.\
E. Decoded instructions.","TLBs are an optimisation for virtual to physical memory address transla-\
tion. Therefore, the cache stores the physical addresses. The virtual addresses are\
used as an index/key to the cache.\
Note, the TLB doesn’t enumerate all the pages: that is the job of the Page Table.",Memory
105,"A particular computer architecture supports up to 230 bytes (1 GiB) of byte-addressable\
virtual memory. The ISA for this architecture therefore uses 30-bit memory addresses.\
There are 228 bytes (256 MiB) of physical memory installed. The memory is split in pages\
of size 1 KiB ( 210 bytes).\
A Translation Lookaside Buffer (TLB) is used to speed up the translation of virtual\
memory addresses to physical memory addresses.\
How many bits of the address need to be stored for each entry in the TLB?\
A. 2 bits.\
B. 10 bits.\
C. 18 bits.\
D. 20 bits.\
E. 30 bits.","The system can store 228−10 = 2 18 pages in physical memory. Therefore\
each entry of the Page Table, and therefore the TLB, stores 18 bits to identify the\
physical addresses.\
The other answers could be derived by following the incorrect, but related, ideas:\
• There are 230−10 = 2 20 (virtual) pages, so the Page Table needs this many\
entries.\
• By the above, 20 bits are used as an index to the Page Table, so 30 − 20 = 10\
bits are kept (passed through unmodified) in the translated physical address.\
The other 18 bits come from the translated physical address, stored in the Page\
Table/TLB.\
• Memory address are 30-bit, but the Page Table and TLB do not store the full\
virtual address.\
• 2 bits is the result of incorrectly calculating the ratio of addressable virtual\
memory to physical memory.",Memory
106,"A computer system supports up to 232 bytes (4 GiB) of byte-addressable virtual memory.\
There are 227 bytes (128 MiB) of physical memory installed. The memory is split in pages\
of size 16 KiB ( 214 bytes).\
What is the minimum size of the Page Table, in KiB (kibibytes)?\
A. 5 KiB.\
B. 8 KiB.\
C. 18 KiB.\
D. 416 KiB.\
E. 576 KiB.\
You may wish to first calculate the number of entries in the Page Table, and the size of\
each entry.\
Recall:\
• There are 8 bits per byte.\
• There are 1024 bytes in a KiB.\
• There are 1024 KiB in a MiB.\
• There are 1024 MiB in a GiB.","There are 232−14 = 2 18 pages, and so the Page Table needs this many\
entries.\
We can store 227−14 = 2 13 pages in physical memory, and so each entry of the Page\
Table stores 13 bits to identify the physical addresses of each page.\
The page table is therefore 218 × 13 bits, or (218 × 13)/(8 × 1024) = 416 KiB.",Memory
107,"Programs use stacks in memory to support subroutine calls. Typically the stacks are\
descending, where pushing data onto the stack moves the stack pointer to a lower address.\
Why is a descending stack more convenient that an ascending stack?\
A. Implementing an addition circuit is easier than a subtraction one\
B. Ascending stacks could run out of memory and descending stacks cannot\
C. Subroutine cannot access calling parameters in the stack frame\
D. The total amount of stack memory required by a program is unknown at compile\
time, so by starting at high addresses the stack has the maximum amount of\
room to expand","This is application of knowledge of stacks by thinking over the conse-\
quences of the statements.\
The students know how to implement an adder-subtractor so the computation of\
offsets is easy in both cases.\
Both ascending and descending stacks can run out of memory if they get too large.\
Subroutines can access parameters in both cases.\
The correct answer is the stack size is unknown in advance, so descending give the\
largest amount of space safely.",Hardware-support for Software
108,"A stack data structure is often used to support subroutine calling in a high level language\
like C.\
Who or what is responsible for allocating enough space on the stack for a subroutine’s\
local variables?\
A. The programmer.\
B. The compiler.\
C. The loader.\
D. The linker.\
E. The special registers.","Tests understanding of the subroutine calling process.\
The compiler will insert instructions to decrease the stack pointer sufficiently for\
subroutine’s local variables.\
The programmer might have to do it by hand when writing assembly, but this question\
specifies a high level language.",Hardware-support for Software
109,"Why is it important to support different execution privileges at an architectural level?\
A. To ensure user programs cannot access restricted portions of memory\
B. To ensure kernel cannot access application memory\
C. To allow relocation of programs in memory\
D. To allow the kernel to schedule multiple programs on a single processor","The architecture must put in place some restrictions to ensure that load/store\
instructions to certain memory addresses will only succeed based on the privilege level.\
For example, a load/store from kernel code should always work, but a load/store in\
user applications should only succeed if the memory address is within the allowable\
range, or if they are accessing the page table for virtual-to-physical address translation,\
etc.",Hardware-support for Software
110,"In adding protection to the Hex 8 ISA, we must ensure that only the kernel can access all memory addresses. To do this, we add a flag `ink` which is 1 if the processor is executing instructions associated with the kernel. We also add two registers: `ab`, the application base memory address; and `as`, the application size.\

The `LDBI` instruction was originally defined as follows:\
```text
LDBI  breg <- mem[breg + oreg]
```
Which of the following is the correct definition of a protected `LDBI` Hex 8 instruction?\
```text
A. if ink is 1 then breg <- mem[breg + oreg]
   else if (breg + oreg) < as then breg <- mem[ab + breg + oreg]
   else error

B. if ink is 0 then breg <- mem[breg + oreg]
   else if (breg + oreg) < as then breg <- mem[ab + breg + oreg]
   else error

C. if ink is 1 then breg <- mem[breg + oreg]
   else if (breg + oreg) < as then breg <- mem[breg + oreg]
   else error

D. if ink is 1 then breg <- mem[breg + oreg]
   else if (breg + oreg) < as then breg <- mem[as + breg + oreg]
   else error

E. if ink is 1 then breg <- mem[breg + oreg]
   else if (breg + oreg) < (ab + as) then breg <- mem[ab + breg + oreg]
   else error
```","In the lectures the students saw an example for a store instruction. This\
question tests the application to a load instruction.\
The correct definition should only allow the unrestricted load if ink == 1.\
Otherwise, offsets oreg are calculated from zero (to ensure relocatable programs).\
Therefore the resulting memory address breg + oreg should be lower than the highest\
allowed address size as, relative to zero. The correct comparison is (breg+oreg) < as.\
The final memory access is offset by the application base ab to translate from the\
relocatable zero to the real position in memory.\
Each incorrect answer makes the wrong comparison and/or offset calculation.",Hardware-support for Software
111,"In adding protection to the Hex 8 ISA, we must ensure that only the kernel can access all memory addresses. To do this, we add a flag `ink` which is 1 if the processor is executing instructions associated with the kernel; or 0 otherwise. We also add two registers: `ab`, the application base memory address; and `as`, the application size.\

The `LDAP` instruction was originally defined as follows:\
```text
LDAP  areg <- pc + oreg
```
Which of the following is the correct definition of a protected `LDAP` Hex 8 instruction?\
```text
A. if ink is 1 then areg <- pc + oreg
   else if (pc + oreg) < as then areg <- ab + pc + oreg
   else error

B. if ink is 0 then areg <- pc + oreg
   else if (pc + oreg) < as then areg <- ab + pc + oreg
   else error

C. if ink is 1 then areg <- pc + oreg
   else if (pc + oreg) < as then areg <- as + pc + oreg
   else error

D. if ink is 0 then areg <- pc + oreg
   else if (pc + oreg) < as then areg <- as + pc + oreg
   else error

E. areg <- pc + oreg
   i.e., no changes required.
```","In the lectures the students saw an example for a store instruction. This\
question tests understanding of when protection is required.\
This instruction uses the pc, which will be set to a value within the valid range the\
program can access. The instruction sets the areg to the sum of the pc and oreg,\
but does not try to access this address in memory. If this sum would take the value\
out of the valid range, the error would occur on an instruction trying to set the pc\
or access memory at this address, and not this instrution. Therefore, this instruction\
does not need modifying.\
The other (incorrect) versions apply the transformation shows in the lecture to check\
the application base in various ways.",Hardware-support for Software
112,"What mechanism do operating system kernels use to schedule programs?\
A. Subroutine call\
B. Pipelining\
C. Interrupts\
D. Exceptions\
E. Memory protection","Interrupts (hardware and software) are used to return the execution into\
the kernel giving it an opportunity to schedule programs.\
The other answers are spurious.",Hardware-support for Software
113,"Many programming languages support recursive subroutine calls; specifically, a subroutine\
is allowed to call itself. Hardware and software interact to make subroutine calls efficient.\
Which of the following features puts a limit on the number of subroutine calls that a\
program can make on a given architecture?\
You may assume the registers are wide enough to address any word in memory.\
A. The stack pointer register.\
B. The return address register.\
C. The number of architectural registers.\
D. The size of the stack.\
E. The size of the instruction cache.","This question asks to think about what resource would expire if there was\
infinite recursion.\
As each subroutine call will push data onto a stack, for a very large number of calls,\
the stack memory would run out. This puts a limit on the number of subroutine\
calls, as beyond a certain point, no more calls could be supported without having to\
overwrite memory.\
The registers are updated for each subroutine call and are independent on the number\
of subroutine calls made; their values are stored on the stack.\
The instruction cache stores spatially close instructions, so will help the performance\
of a (small) recursive subroutine call.",Hardware-support for Software
114,"A program which is position independent is loaded into memory by the loader. The\
program is placed so that it begins at memory address P.\
Which of the following classes of instructions in a Reduced Instruction Set Computer\
(RISC) architecture, such as the Hex8 Instruction Set Architecture (ISA), might the\
loader need to update, given the programs location in memory is now known?\
A. Arithmetic operations.\
B. Relative branch instructions.\
C. System or kernel calls.\
D. Logical instructions.\
E. Memory load and store instructions.","Mainly a fact check of information synthesised from lecture material. The\
lectures show how a store instruction might need to be modified given an application\
base, but the same procedure would apply to all memory access instructions.\
Branch instructions will modify the program counter, which will be set to P when the\
program is loaded. Relative branches will not be affected by the programs position in\
memory; absolute branches would, but the choice above states “relative”.",Hardware-support for Software
115,"A bus is used to communicate data between the CPU and memory, which operate on\
different clocks frequencies. A number of signal/control wires are used to implement a\
communication protocol between the CPU and memory.\
The CPU requests data from memory by sending the appropriate signals for a read. How\
does CPU know that the data has arrived and it is safe to copy from the bus?\
A. The data has arrived after the memory signals is it ready.\
B. The data has arrived after a fixed number of CPU cycles.\
C. The data has arrived after a fixed number of memory cycles.\
D. The data has arrived after the CPU signals it is ready.\
E. The data arrives after a fixed number of both CPU and memory cycles.","This question tests the different situations where synchronous and asyn-\
chronous buses are used, and how they work at a high level. The key detail is that the\
CPU and memory have different clocks, and so an asynchronous bus must be used,\
which operates on control signals rather than against the clock. Therefore, the data\
arrives once the memory tells the CPU it’s on the bus.",Hardware-support for Software
116,"A program has a bug. During execution, an instruction is issued which attempted integer\
division by zero. The Arithmetic Logic Unit stores this information in the status register.\
What type of error is this known as?\
A. Asynchronous Interrupt.\
B. Synchronous Exception.\
C. Asynchronous Error.\
D. Overflow.\
E. Carry.","Because the error occurred as a result of instruction execution, the error\
is a synchronous exception.\
An interrupt happens asynchronously, and externally from the processor, so this is\
incorrect. Divide by zero is not a carry or overflow.",Hardware-support for Software
117,"One of my programs has a bug, and I want to use a debugger to try to find where in the\
program the issue occurs. I set a breakpoint to stop execution of my program just before\
a subroutine call so I can investigate the program state interactively.\
What mechanism could the processor provide to support this?\
A. Timing interrupts.\
B. Software interrupts.\
C. Hardware interrupts.\
D. A system call to enable printing to the screen.\
E. Exceptions.","The question hints I want to stop the program at a specific point in the\
program. Debuggers usually set breakpoints by replacing instructions with software\
interrupts.\
A timing interrupt would stop the program after a given time, which is not necessarily\
at a specific point in the program source.\
A debugger must interact with the kernel (via software interrupts), but simply pro-\
viding printf() support alone would not let me explore the state interactively.\
Exceptions would create errors in the program, which could be caught by a debugger,\
but again, it doesn’t stop at a specific point (a subroutine) in the program source.",Hardware-support for Software
118,"A keyboard is used to input text characters into a processor. When a key is pressed, the\
keyboard sends an 8-bit signal to the system. An interrupt handler is used to copy that\
signal into a buffer in memory, storing it as a text character. The interrupt handler also\
updates a counter which contains the number of characters currently in the buffer.\
You are writing a print program that displays the characters entered on the keyboard. In\
other words, your program prints the contents of the memory buffer to the screen, clears\
the memory buffer, and then the program ends.\
The program is intended to be run by a privileged user, with full access to the entire\
memory space.\
In order to ensure correct operation, why should interrupts be disabled when the print\
program is running.\
A. The interrupt handler would miss future keyboard presses while the print pro-\
gram is running.\
B. The interrupt handler needs to restore the state of the print program after\
running.\
C. The interrupt handler and the printing program could change the value stored\
in the counter at the same time.\
D. The print program cannot change the value in registers.\
E. The print program cannot change the data in memory.","If interrupts were not disabled, the interrupt handler could try to increment\
the counter whilst the print program is reading/writing this value. In addition, the\
counter is used to show the offset in memory to append new characters to the buffer;\
and so data can be lost if the interrupt handler ran and overwrote data in the buffer.\
Therefore, interrupts should be disabled to prevent this memory race.\
The print program can of course change the data in memory (the question says it\
will), and it will use registers. The statements about the interrupt handler are true,\
however are not the reasons why interrupts should be disabled.",Hardware-support for Software
119,"The x86 Instruction Set Architecture (ISA) has a HLT (halt) instruction. This instruc-\
tion takes no operands and is only available under privileged execution (by the kernel).\
The effect of the instruction is to stop the execution of the processor, i.e., no further\
instructions will be executed.\
How could the processor recover from this instruction and continue executing the kernel,\
maintaining the architectural state of the processor (registers and memory)?\
A. The processor cannot be restarted.\
B. Reset the power source.\
C. Resume after an external interrupt occurs.\
D. Resume after a software interrupt occurs.\
E. Resume executing a non-privileged program.","The HLT instruction stops execution until an interrupt occurs.\
As the processor has ceased execution, it is unable to process further instructions\
(like software interrupts, or a non-privileged program). Rebooting the processor would\
cause the state of registers and (DRAM) memory to be erased.",Hardware-support for Software
120,"Consider the following instructions:\
```text
XADD r1, r2   temp <- r1 + r2; r2 <- r1; r1 <- temp
ADD  r1, r2   r1 <- r1 + r2; set the carry flag (CF) if the result overflowed
```
These are inspired by the x86 ISA, and operate on 4-bit registers. If we set `r1 = 0` and `r2 = 1`, then execute the following program:\
```text
xadd r1, r2
add  r1, r2
xadd r1, r2
add  r1, r2
xadd r1, r2
add  r1, r2
xadd r1, r2
...
```
What sequence of values does the register `r1` take?\
A. r1 = 0, 1, 1, 2, 3, 5, 8, 13, ...\
B. r1 = 0, 1, 1, 1, 2, 3, 5, 7, ...\
C. r1 = 0, 1, 1, 1, 2, 2, 5, 8, ...\
D. r1 = 1, 0, 0, 1, 1, 2, 2, 5, ...\
E. r1 = 1, 0, 0, 1, 1, 3, 3, 5, ...","The XADD instruction computes the sum of the registers, storing the source `r1` in `r2` and storing the result in `r1`. The ADD instruction computes the sum of the registers, storing the result in `r1`, leaving `r2` unmodified.\

The registers therefore take the following values:\
```text
r1  r2
0   1
1   0   xadd
1   0   add
1   1   xadd
2   1   add
3   2   xadd
5   2   add
7   5   xadd
...
```",Assembly and Assemblers
121,"During the assembly of an assembly program, labels are resolved. Consider the following Hex 8 assembly program:\
```text
Line 1 - ldbc loop
Line 2 - loop: ldac 0
Line 3 - add
Line 4 - br loop
```
During label resolution, what constant offsets are the operands on Line 1 (`loop`) and Line 4 (`loop`) replaced with?\
A. Line 1 becomes br -1 and line 4 becomes ldbc -1\
B. Line 1 becomes br 4 and line 4 becomes ldbc 4\
C. Line 1 becomes br 0 and line 4 becomes ldbc 4\
D. Line 1 becomes br 0 and line 4 becomes ldbc 0\
E. Line 1 becomes ldbc 2 and line 4 becomes br -3","After label resolution the program will be:\
```text
Line 1 - ldbc 2
Line 2 - ldac 0
Line 3 - add
Line 4 - br -3
```
The Hex 8 processor has an execution cycle of Fetch/Increment PC/Execute. The BR instruction computes `pc <- pc + oreg`. Just before line 4 BR is executed `pc = 5`. Therefore to set `pc = 2`, the operand must be -3.\

On line 1, the LDBC instruction sets `breg <- oreg`. With an operand of the label `loop`, this instruction needs the address of the label. Therefore the operand must be 2.",Assembly and Assemblers
122,"During the assembly of an assembly program into machine code, labels are resolved.\
Consider the following Hex 8 assembly program:\
Line 1 - BR L1\
Line 2 - L2\
Line 3 - DATA 1\
Line 4 - L3\
Line 5 - DATA 1\
Line 6 - L1\
Line 7 - LDBM L2\
Line 8 - LDAM L3\
Line 9 - STAM L2\
Line 10 - ADD\
Line 11 - STAM L3\
Line 12 - LDBC 8\
Line 13 - SUB\
Line 14 - BRN L1\
During label resolution, the labels on lines 7, 8, 9, 11 and 14 are resolved. What constant\
values are they replaced with, respectively? Assume no extra instructions are created.\
Recall the Hex 8 execution cycle: Fetch, Increment program counter ( P C), Execute. You\
may assume that the P C is set to the line number when that line is fetched.\
A. 2, 4, 2, 4, -8\
B. 3, 5, 3, 5, 8\
C. -4, -3, -6, -6, -8\
D. 2, 4, 2, 4, 8\
E. 3, 5, 3, 5, -8","This Hex 8 program generates the Fibonacci numbers in memory up to 8.\
L1 refers to the instruction on Line 7. L2 refers to the instruction on Line 3. L3 refers\
to the instruction on Line 5.\
The LDAM, LDBM, and STAM instructions all take immediate values for the label. Hence,\
L2 = 3 on lines 7 and 9, and L3 = 5 on lines 8 and 11.\
The BRN instruction updates the P C, and so the relative offset must be used. The\
P C is incremented after fetch, and before execute, so the P C is one greater than\
the line number. Hence, L1 resolves to 7 − 15 = −8 on Line 14.",Assembly and Assemblers
123,"During the assembly of an assembly program into machine code, labels are resolved.\
Consider the following Hex 8 assembly program:\
Line 1 - L1\
Line 2 - DATA 15\
Line 3 - L2\
Line 4 - LDBC 1\
Line 5 - LDAM L1\
Line 6 - SUB\
Line 7 - STAM L1\
Line 8 - BRZ L3\
Line 9 - BR L2\
Line 10 - L3\
Line 11 - LDAC 15\
Line 12 - STAM L1\
During label resolution, the labels L1, L2 and L3 on lines 5, 7, 8, 9 and 12 are resolved.\
What constant values are they replaced with, respectively? Assume no extra instructions\
are created.\
Recall the Hex 8 execution cycle: Fetch, Increment program counter P C, Execute. You\
may assume that the P C is set to the line number when that line is fetched.\
A. -4, -6, 2, -6, -11.\
B. -4, -6, 3, -5, -11.\
C. 2, 2, 3, -5, 2.\
D. 2, 2, 4, 11, 2.\
E. 2, 2, 2, -6, 2.","The Hex 8 program counts from 15 to zero.\
L1 refers to the instruction on Line 2. L2 refers to the instruction on Line 4. L3 refers\
to the instruction on Line 11.\
The LDAM and STAM instructions all take immediate values for the operand, and so\
the labels take their absolute value. Hence, L1 on lines 5, 7 and 12 all resolve to 2.\
The branch instructions BRZ and BR update the P C, and so a relative offset must\
be used. The P C is incremented after fetch, and before execute, so the P C is one\
greater than the line number. On Line 8, P C = 9, and so L3 resolves to 11 − 9 = 2 .\
On Line 9, P C = 10, and so L2 resolves to 4 − 10 = −6.",Assembly and Assemblers
124,"During the assembly of an assembly program into machine code, labels are resolved.\
Consider the following Hex 8 assembly program:\
Line 1 - BR L1\
Line 2 - L2\
Line 3 - DATA 1\
Line 4 - DATA 2\
Line 5 - DATA 3\
Line 6 - DATA 4\
Line 7 - DATA 5\
Line 8 - L3\
Line 9 - DATA 0\
Line 10 - L1\
Line 11 - LDAC L3\
Line 12 - LDAI L2\
Line 13 - LDBM L3\
Line 14 - ADD\
Line 15 - LDBI L2\
Line 16 - STAI L3\
During label resolution, the labels on lines 1, 11, 12, 13, 15 and 16 are resolved. What\
constant values are they replaced with, respectively? Assume no extra instructions are\
created.\
Recall the Hex 8 execution cycle: Fetch, Increment program counter ( P C), Execute. You\
may assume that the P C is set to the line number when that line is fetched.\
A. 11, 9, 3, 9, 3, 9\
B. 9, 1, 8, 3, 11, 6\
C. 9, 9, 3, 9, 3, 9\
D. 11, 3, 9, 3, 9, 3\
E. 9, 9, 9, 9, 9, 9","This Hex 8 program uses indirect memory accesses.\
L1 refers to the instruction on Line 11. L2 refers to the instruction (data) on Line 3.\
L3 refers to the instruction (data) on Line 9.\
The LDAC, LDAI, LDBM LDBI and STAI instructions all take immediate values for the\
label. Hence, L2 = 3 on lines 12 and 15, and L3 = 9 on lines 11, 13 and 16.\
The BR instruction updates the P C, and so the relative offset must be used. The\
P C is incremented after fetch, and before execute, so the P C is one greater than\
the line number. Hence, L1 resolves to 11 − 1 − 1 = 9 on Line 1.",Assembly and Assemblers
125,"Which of these tasks is not performed by a compiler?\
A. Optimisation\
B. Parsing\
C. Machine code output\
D. Application base memory location\
E. Linking","The kernel is responsible for placing the compiled program in memory thus\
determining it’s base memory location.\
All the others are functions of the compiler toolchain.",Compilers
126,"Explain the following compiler optimisations:\
1. Common subexpression elimination\
2. Dead code elimination\
3. Constant folding\
4. Hoist loop invariants\
5. Function inlining\
6. Loop induction variables\
7. Strength reduction",These are defined in the lecture slides.,Compilers
127,"Consider the following extract from a C program:\
int i, j;\
int A[80];\
for (i = 0; i < 8; ++i) {\
for (j = 0; j < 10; ++j) {\
int k = i * 10 + j;\
A[k] = j * 10 + i;\
}\
}\
Apply the strength reduction optimisation to this program.\
How many additions and multiplications now occur in total, excluding the increments to\
i and j in the for loops?\
A. 116 additions and zero multiplications.\
B. 28 additions and zero multiplications.\
C. 168 additions and zero multiplications.\
D. 28 additions and 2 multiplications.\
E. 256 additions and zero multiplications.","It has a number of steps, including counting at the end to answer the\
question directly.\
There are two loops, so we apply the optimisation twice. For the inner j loop, the\
result of the optimisation is:\
int i, j;\
int A[80];\
for (i = 0; i < 8; ++i) {\
int l = i * 10 + 0;\
int m = 0 * 10 + i;\
for (j = 0; j < 10; ++j) {\
A[l] = m;\
l = l + 1;\
m = m + 10;\
}\
}\
Now, applying it to the i loop. Note that in the above m == i , so we don’t need to\
do anything to it, and the optimisation is only applied to l.\
int i, j;\
int A[80];\
int p = 0;\
for (i = 0; i < 8; ++i) {\
int l = p;\
int m = i;\
for (j = 0; j < 10; ++j) {\
A[l] = m;\
l = l + 1;\
m = m + 10;\
}\
p = p + 10;\
}\
There are therefore 10 × 2 additions in the j loop. Each iteration of the i loop\
performs the 20 additions for the j loop and 1 more, for a total of 8 × 21 = 168\
additions, and zero multiplications.",Compilers
128,"Consider the following extract from a C program:\
int i;\
int j = 3;\
int A[16];\
for (i = 0; i < 16; ++i) {\
A[i] = i*16 + j;\
}\
Apply the strength reduction optimisation to this program.\
How many additions and multiplications now occur in total, excluding the increment to\
i in the for loop?\
A. 16 additions and one multiplications.\
B. 32 additions and one multiplications.\
C. 16 additions and zero multiplications.\
D. 32 additions and zero multiplications.\
E. 16 additions and 16 multiplications.","The result of the optimisation is:\
int i;\
int j = 3;\
int A[16];\
int k = j;\
for (i = 0; i < 16; ++i) {\
A[i] = k;\
k = k + 16;\
}\
There is therefore only one addition in the loop. There are 16 iterations of the loop,\
so the answer is 16 additions and zero multiplications.",Compilers
129,"Consider the following extract from a C program:\
int function(int x) {\
const int N = 12;\
int a = 2 * N + x;\
int b = 2 * N + x + 1;\
int c = 3 * N;\
int d = c + a;\
return a + b;\
}\
An optimising C compiler might apply a number of transformations to this program to\
reduce the cost to execute it.\
Without optimisation, the function would perform 3 multiplications and 5 addition oper-\
ations.\
Apply the following optimisations to the above program.\
• Common subexpression elimination.\
• Constant folding.\
• Dead code elimination.\
After applying the optimisations, in the order given, how many multiplications and addition\
operations must be performed?\
A. 3 multiplications and 5 additions.\
B. 3 multiplications and 4 additions.\
C. 1 multiplications and 3 additions.\
D. 0 multiplications and 3 additions.\
E. 0 multiplications and 4 additions.","After application of common subexpression elimination, the program would look as\
follows:\
int function(int x) {\
const int N = 12;\
int a = 2 * N + x;\
int b = a + 1;\
int c = 3 * N;\
int d = c + a;\
return a + b;\
}\
After constant folding, the program would look as follows:\
int function(int x) {\
const int N = 12;\
int a = 24 + x;\
int b = a + 1;\
int c = 36;\
int d = c + a;\
return a + b;\
}\
Finally, after dead code elimination, the program would look as follows:\
int function(int x) {\
int a = 24 + x;\
int b = a + 1;\
return a + b;\
}\
Therefore, there are 3 additions, and 0 multiplications.\
Further optimisation is possible, but these would not reduce the arithmetic beyond\
this minimum. It therefore does not really matter is the solution is obtained by some\
other means.",Compilers
130,"Consider the following extract from a C program:\
const int N = 25;\
int A[25];\
int B[25];\
for (int i = 0; i < N; ++i) {\
A[i] = i + 12;\
int j = i + N;\
int k = i + 12;\
B[i] = i + 12 + N;\
}\
An optimising C compiler might apply a number of transformations to this program to\
reduce the cost to execute it.\
Without optimisation, the function would perform 25 × 6 = 150 addition operations.\
Apply the following optimisations to the above program.\
• Common subexpression elimination.\
• Constant folding.\
• Dead code elimination.\
After applying the optimisations, in the order given, how many addition operations must\
be performed?\
A. 2\
B. 25\
C. 50\
D. 75\
E. 100","Application of a procedure from the lectures. It has a number of steps,\
including counting at the end to answer the question directly.\
After application of common subexpression elimination, the program would look as\
follows:\
const int N = 25;\
int A[25];\
int B[25];\
for (int i = 0; i < N; ++i) {\
int a = i + 12;\
A[i] = a;\
int j = i + N;\
int k = a;\
B[i] = a + N;\
}\
After constant folding, the program would look as follows:\
const int N = 25;\
int A[25];\
int B[25];\
for (int i = 0; i < N; ++i) {\
int a = i + 12;\
A[i] = a;\
int j = i + 25;\
int k = a;\
B[i] = a + 25;\
}\
Note that because common subexpression was performed first, the final line still\
contains a + operation after constant folding.\
Finally, after dead code elimination, the program would look as follows:\
const int N = 25;\
int A[25];\
int B[25];\
for (int i = 0; i < N; ++i) {\
int a = i + 12;\
A[i] = a;\
B[i] = a + 25;\
}\
Therefore, there are 2 additions in the loop body and one to increment i each iteration.\
There are 25 iterations, therefore 25 × 3 = 75 additions.",Compilers
131,"A compiler is used to translate programs written in a high-level programming language to machine code (`MC`). When a new programming language is developed, a compiler must be written to support this new language. This process is often known as bootstrapping.\

I have developed a new programming language called Blue, and implement a compiler in my second-favourite programming language, C, so that I can compile a program written in Blue. I then implement a Blue compiler in the Blue language.\

Which of the Tombstone diagrams (T-diagrams) shown below correctly represents this bootstrapping process for my Blue compiler? You may assume a C compiler already exists.\
```text
A.
  Blue -> MC
  implemented in Blue

  Blue -> MC
  implemented in C

B.
  Blue -> MC
  implemented in Blue

  Blue -> MC
  implemented in C

  C -> MC
  implemented in Blue

C.
  Blue -> C
  implemented in MC

  C -> MC
  implemented in C

D.
  Blue -> MC
  implemented in Blue

  Blue -> MC
  implemented in MC

E.
  Blue -> MC
  implemented in C

  C -> Blue
  implemented in MC
```","Each Tombstone (T-diagram) shows a compiler. There are two compilers in the question:\
1. A Blue-to-`MC` compiler, written in Blue.\
2. A Blue-to-`MC` compiler, written in C.\

Therefore, the first compiler can be built with the second, giving a path from Blue to `MC`.\

Option B shows a third C compiler, which the question assumes already exists, so it does not need to be shown. The question also does not state what this C compiler is written in; option B shows it implemented in Blue, which is not correct.\

The other options jumble the source, target, or implementation languages, producing incorrect diagrams.",Compilers
